    1 1 1   5.965188   6.565689   3.409886   5.062632  10.934174   2.850457  -2.586410  -1.620009  -1.127919  -4.600885
    2 1 0   7.131402   3.586757   9.612473   7.743128   9.916999   1.850571  -0.745795  -1.002225   1.877833   0.543067
    3 1 0   4.761294   1.927701   6.867105   1.378688   0.956535   1.530763   2.102556   1.466487   2.521019  -0.291426
    4 0 0   4.871162   6.085778   2.603995   2.412024   1.906498   1.979955   2.263897   2.342727   0.735305   5.019734
    5 1 0   3.169513   5.534468   2.495484   4.302668   7.730947   2.123857   0.769192   2.054296   3.216513   1.265279
    6 1 0   0.927734   1.842237   4.054808   6.428935   3.352636   1.049315   0.920176   1.224657  -0.049343   1.732567
    7 1 1   2.533457   0.317134   5.288620   1.889978   6.955049   0.230084  -1.735781  -1.716251   1.165439  -1.696050
    8 1 0   5.116521   3.635587   5.395471  12.222831   8.967415  -0.443492   3.621190   2.265593  -0.359288   4.772487
    9 0 1   0.529484   1.754256  -3.707724   1.087559   1.576240   0.637920  -1.509684   0.186466  -1.181396   3.914198
   10 0 0   8.785190   8.804097   4.756224   8.559701  -0.188024   1.550209   2.215392   3.187221   0.251529   4.198992
   11 0 1   2.575162   3.866306   2.186392  -0.894969  -5.172764   4.780726   4.233073   2.570589   2.791243   0.599487
   12 0 1   5.865996   5.364320   3.227130   3.440099  -0.726701   2.539937   3.134493   1.838475   1.148415   3.380452
   13 1 1   0.338165   9.087072   4.131169  10.414043   7.856852  -0.712306  -1.500459   0.537946  -0.461988  -0.028162
   14 0 1   3.454089  -0.761068   3.543854  -1.360091   4.322536   2.427403  -0.073418  -3.225562  -0.611648  -2.495773
   15 0 0   2.473614   0.721180  -3.349855  -0.472143   2.484468   3.052022   4.471015   1.184157   6.035600   5.674992
   16 0 1   0.710793   3.045995   1.086665   1.706739   2.709574   2.185872   1.059647   2.025366   0.674351   1.980662
   17 0 0   8.964081   6.044912   3.542557   3.422786   7.576579   5.231674   3.671687   1.447512   3.095506   5.213715
